Number,Item,Description,Condition,Status,Notes,ImageURL
1706,Disk Golf,White,1,0,,
1709,,Tamper/rake,1,0,,
1711,Gloves,Grey FG,1,2,,
1711,Gloves,Black/Tan FG,1,2,,
1712,Gloves,Yellow/Black FG,3,0,,
1713,Gloves,Red/Blacck FG,1,0,,
1714,Tools,Fiskars Clippers,1,0,,
1715,Tools,Fiskars Clippers,1,0,,
1736,Soft Cooler,Kelty Camp Carton,1,0,,
1748,Belay Device,Blue GriGri Petzl W/ Red Am'D Twist Gate,1,0,,
1749,Belay Device,Silver Black Diamond ATC W/ Screw Lock Gate,2,0,,
1751,Belay Device,Blue Black Diamond ATC W/ Screw Lock Gate,2,0,,
1759,First Aid Kit,REI,1,0,,
1760,First Aid Kit,REI backpacker first aid kit,1,0,,
1761,Headlamp,Red/Black BYTE,1,0,,
1763,Headlamp,PTEC,1,0,,
1765,Headlamp,PTEC,1,0,,
1766,Hammock,Blue/Purple ENO Double Nest,1,0,,
1767,Hammock,Blue/Yellow/Teal ENO,1,0,,
1768,Hammock,Atlas XL Straps,1,0,,
1769,X-Country Ski Poles,Blue Komperdell 155cm,0,0,,
1776,Water Filter,Sawyer mini,1,0,,
1777,Water Filter,Sawyer mini,1,0,,
1779,Guide Book,New River Gorge bouldering,1,0,,
1781,Backpack,Green REI backpack,1,0,,
1784,Backpack,REI women's small,1,0,,
1814,Headlamp,Brown Petzl,1,0,,
1815,Headlamp,Petzl,1,0,,
1817,Backpack,Navy Osprey,1,0,,
1817,Ski Shoes,Cross country boots,1,0,,
1818,Headlamp,Green Black Diamond,1,0,,
1821,Crash Pad,Black Metolious,1,0,,
1822,Water Pouch,Reliance Water Pouch,1,0,,
1823,Water Pouch,Reliance Water Pouch,1,0,,
1826,First Aid Kit,REI,1,0,,
1828,Sleeping Pad,Green Thermarest Ridgerest,1,0,,
1829,Sleeping Pad,Green Thermarest Ridgerest,1,0,,
1853,Chalk Bag,Green Metolius,2,0,,
1856,X-Country Ski Poles,"Black/White Rossignol 56""",0,0,,
1857,X-Country Ski Poles,"Black/White Rossignol 58""",0,0,,
1858,X-Country Skis,Green/White Rossignol,0,0,,
1859,Sleeping Bag,Blue and Grey Bag 20F,1,2,,
1860,X-Country Ski Poles,"Black/White Rossignol 60""",0,0,,
1861,X-Country Ski Poles,"Black/White Rossignol 60""",0,0,,
1862,Ski Shoes,Black Rossignol X-2 Tour size EU 42,1,0,,
1863,Backpack,Outdoor Products Fanny Pack,1,0,,
1864,GoPro,Chesty,1,0,,
1865,X-Country Skis,White/Black/Red Rossignol,1,0,,
1871,Backpack,Blue Osprey Escalante,1,0,,
1874,Backpack,Green Osprey Escalante 90L +10,1,0,,
1875,Backpack,Green Osprey Escalante,1,0,,
1876,Sleeping Bag,Blue/Green Nemo 30F,1,0,,
1877,Sleeping Bag,Red Nemo Verve 30F,1,0,,
1879,Sleeping Bag,Turquoise Nemo 20F,0,0,,
1880,Sleeping Bag,Turquoise Nemo 20F,0,0,,
1881,Sleeping Pad,NEMO insulated with foot pump,1,0,,
1882,Sleeping Pad,NEMO insulated with foot pump,1,0,,
1884,Guide Book,Map of Appalachain Trail in North Shenandoah,1,0,,
1885,Guide Book,Map of Appalachain Trail in Central Shenadoah,1,0,,
1886,Guide Book,SNP South District Map,1,0,,
1891,Helmet,Grey/Orange Petzl Elios,1,0,,
1892,Helmet,Grey/Orange Petzl Elios,1,0,,
1893,Helmet,Grey/Orange Petzl Elios,1,0,,
1894,Helmet,Grey/Orange Petzl Elios,1,0,,
1895,Helmet,Grey/Orange Petzl Elios,1,0,,
1896,Helmet,Grey/Orange Petzl Elios,1,0,,
1904,Sleeping Bag,Blue/Grey Sierra Designs,0,0,,
1905,Sleeping Bag,Blue/Grey Sierra Designs,0,0,,
1906,Tent,Green dagger 2 person,1,0,,
1907,Hammock,Grey ENO Underquilt,1,0,,
1908,Stoves,large propane camp stove,1,0,,
